WardNumber,WardEn,City,Ward
010101,Chuo,札幌市,中央
010102,Kita,札幌市,北
010103,Higashi,札幌市,東
010104,Shiroishi,札幌市,白石
010105,Toyohira,札幌市,豊平
010106,Minami,札幌市,南
010107,Nishi,札幌市,西
010108,Atsubetsu,札幌市,厚別
010109,Teine,札幌市,手稲
010110,Kiyota,札幌市,清田
060101,Aoba,仙台市,青葉
060102,Miyagino,仙台市,宮城野
060103,Wakabayashi,仙台市,若林
060104,Taihaku,仙台市,太白
060105,Izumi,仙台市,泉
080101,Kita,新潟市,北
080102,Higashi,新潟市,東
080103,Chuo,新潟市,中央
080104,Konan,新潟市,江南
080105,Akiha,新潟市,秋葉
080106,Minami,新潟市,南
080107,Nishi,新潟市,西
080108,Nishikan,新潟市,西蒲
110101,Tsurumi,横浜市,鶴見
110102,Kanagawa,横浜市,神奈川
110103,Nishi,横浜市,西
110104,Naka,横浜市,中
110105,Minami,横浜市,南
110106,Hodogaya,横浜市,保土ケ谷
110107,Isogo,横浜市,磯子
110108,Kanazawa,横浜市,金沢
110109,Kohoku,横浜市,港北
110110,Totsuka,横浜市,戸塚
110111,Konan,横浜市,港南
110112,Asahi,横浜市,旭
110113,Midori,横浜市,緑
110114,Seya,横浜市,瀬谷
110115,Sakae,横浜市,栄
110116,Izumi,横浜市,泉
110117,Aoba,横浜市,青葉
110118,Tsuzuki,横浜市,都筑
110301,Kawasaki,川崎市,川崎
110302,Saiwai,川崎市,幸
110303,Nakahara,川崎市,中原
110304,Takatsu,川崎市,高津
110305,Tama,川崎市,多摩
110306,Miyamae,川崎市,宮前
110307,Asao,川崎市,麻生
111001,Midori,相模原市,緑
111002,Chuo,相模原市,中央
111003,Minami,相模原市,南
120101,Chuo,千葉市,中央
120102,Hanamigawa,千葉市,花見川
120103,Inage,千葉市,稲毛
120104,Wakaba,千葉市,若葉
120105,Midori,千葉市,緑
120106,Mihama,千葉市,美浜
134401,Nishi,さいたま市,西
134402,Kita,さいたま市,北
134403,Omiya,さいたま市,大宮
134404,Minuma,さいたま市,見沼
134405,Chuo,さいたま市,中央
134406,Sakura,さいたま市,桜
134407,Urawa,さいたま市,浦和
134408,Minami,さいたま市,南
134409,Midori,さいたま市,緑
134410,Iwatsuki,さいたま市,岩槻
180101,Aoi,静岡市,葵
180102,Suruga,静岡市,駿河
180103,Shimizu,静岡市,清水
180201,Naka,浜松市,中
180202,Higashi,浜松市,東
180203,Nishi,浜松市,西
180204,Minami,浜松市,南
180205,Kita,浜松市,北
180206,Hamakita,浜松市,浜北
180207,Tenryu,浜松市,天竜
200101,Chikusa,名古屋市,千種
200102,Higashi,名古屋市,東
200103,Kita,名古屋市,北
200104,Nishi,名古屋市,西
200105,Nakamura,名古屋市,中村
200106,Naka,名古屋市,中
200107,Showa,名古屋市,昭和
200108,Mizuho,名古屋市,瑞穂
200109,Atsuta,名古屋市,熱田
200110,Nakagawa,名古屋市,中川
200111,Minato,名古屋市,港
200112,Minami,名古屋市,南
200113,Moriyama,名古屋市,守山
200114,Midori,名古屋市,緑
200115,Meito,名古屋市,名東
200116,Tenpaku,名古屋市,天白
220101,Kita,京都市,北
220102,Kamigyo,京都市,上京
220103,Sakyo,京都市,左京
220104,Nakagyo,京都市,中京
220105,Higashiyama,京都市,東山
220106,Shimogyo,京都市,下京
220107,Minami,京都市,南
220108,Ukyo,京都市,右京
220109,Fushimi,京都市,伏見
220110,Yamashina,京都市,山科
220111,Nishikyo,京都市,西京
250101,Kita,大阪市,北
250102,Miyakojima,大阪市,都島
250103,Fukushima,大阪市,福島
250104,Konohana,大阪市,此花
250105,Higashi,大阪市,東
250106,Nishi,大阪市,西
250107,Minato,大阪市,港
250108,Taisho,大阪市,大正
250109,Tennoji,大阪市,天王寺
250110,Minami,大阪市,南
250111,Naniwa,大阪市,浪速
250112,Oyodo,大阪市,大淀
250113,Nishiyodogawa,大阪市,西淀川
250114,Higashiyodogawa,大阪市,東淀川
250115,Higashinari,大阪市,東成
250116,Ikuno,大阪市,生野
250117,Asahi,大阪市,旭
250118,Joto,大阪市,城東
250119,Abeno,大阪市,阿倍野
250120,Sumiyoshi,大阪市,住吉
250121,Higashisumiyoshi,大阪市,東住吉
250122,Nishinari,大阪市,西成
250123,Yodogawa,大阪市,淀川
250124,Tsurumi,大阪市,鶴見
250125,Suminoe,大阪市,住之江
250126,Hirano,大阪市,平野
250127,Chuo,大阪市,中央
250201,Sakai,堺市,堺
250202,Naka,堺市,中
250203,Higashi,堺市,東
250204,Nishi,堺市,西
250205,Minami,堺市,南
250206,Kita,堺市,北
250207,Mihara,堺市,美原
270101,Higashinada,神戸市,東灘
270102,Nada,神戸市,灘
270103,Hyogo,神戸市,兵庫
270104,Nagata,神戸市,長田
270105,Suma,神戸市,須磨
270106,Tarumi,神戸市,垂水
270107,Kita,神戸市,北
270108,Chuo,神戸市,中央
270109,Nishi,神戸市,西
270110,Fukiai,神戸市,葺合
270111,Ikuta,神戸市,生田
310101,Kita,岡山市,北
310102,Naka,岡山市,中
310103,Hinagashi,岡山市,東
310104,Minami,岡山市,南
350101,Naka,広島市,中
350102,Higashi,広島市,東
350103,Minami,広島市,南
350104,Nishi,広島市,西
350105,Asaminami,広島市,安佐南
350106,Asakita,広島市,安佐北
350107,Aki,広島市,安芸
350108,Saeki,広島市,佐伯
400101,Higashi,福岡市,東
400102,Hakata,福岡市,博多
400103,Chuo,福岡市,中央
400104,Minami,福岡市,南
400105,Nishi,福岡市,西
400106,Jonan,福岡市,城南
400107,Sawara,福岡市,早良
402101,Moji,北九州市,門司
402102,Wakamatsu,北九州市,若松
402103,Tobata,北九州市,戸畑
402104,Kokurakita,北九州市,小倉北
402105,Kokuraminami,北九州市,小倉南
402106,Yahatahigashi,北九州市,八幡東
402107,Yahatanishi,北九州市,八幡西
402108,Yahata,北九州市,八幡
402109,Kokura,北九州市,小倉
430101,Chuo,熊本市,中央
430102,Higashi,熊本市,東
430103,Nishi,熊本市,西
430104,Minami,熊本市,南
430105,Kita,熊本市,北
